iter	Passed	Remaining
0	442	220943
1	806	200873
2	977	161934
3	1301	161429
4	1627	161164
5	1942	159922
6	2254	158812
7	2567	157907
8	2873	156748
9	3208	157192
10	3572	158814
11	4076	165795
12	4497	168467
13	4844	168172
14	5266	170277
15	5651	170963
16	6080	172747
17	6424	172029
18	6729	170369
19	7054	169319
20	7472	170452
21	7834	170228
22	8181	169668
23	8570	169982
24	8934	169755
25	9275	169094
26	9660	169235
27	10000	168578
28	10387	168710
29	10749	168415
30	11104	167995
31	11422	167054
32	11774	166634
33	12140	166393
34	12452	165435
35	12815	165174
36	13166	164764
37	13512	164281
38	13841	163609
39	14178	163054
40	14519	162543
41	14836	161790
42	15153	161048
43	15477	160400
44	15804	159798
45	16347	161343
46	16857	162481
47	17284	162762
48	17690	162823
49	18125	163131
50	18479	162696
51	18852	162425
52	19179	161760
53	19526	161271
54	19866	160739
55	20191	160089
56	20560	159792
57	20894	159226
58	21227	158669
59	21574	158215
60	21897	157587
61	22232	157062
62	22570	156559
63	22925	156178
64	23216	155368
65	23573	155012
66	23908	154515
67	24234	153963
68	24537	153272
69	24858	152699
70	25196	152241
71	25531	151772
72	25871	151331
73	26191	150776
74	26533	150355
75	26868	149900
76	27198	149412
77	27499	148779
78	27824	148279
79	28166	147874
80	28495	147403
81	28834	146984
82	29150	146455
83	29474	145969
84	29794	145469
85	30093	144867
86	30442	144515
87	30724	143848
88	31045	143368
89	31382	142964
90	31727	142598
91	32039	142088
92	32379	141703
93	32725	141346
94	33058	140934
95	33406	140585
96	33740	140180
97	34063	139727
98	34392	139306
99	34736	138945
100	35096	138648
101	35490	138481
102	35783	137922
103	36115	137516
104	36469	137193
105	36796	136770
106	37136	136396
107	37478	136034
108	37888	135913
109	38315	135845
110	38635	135397
111	39002	135115
112	39395	134920
113	39705	134441
114	40028	134007
115	40356	133595
116	40649	133064
117	40950	132567
118	41277	132155
119	41557	131600
120	41886	131197
121	42180	130690
122	42528	130350
123	42856	129952
124	43186	129559
125	43495	129104
126	43815	128685
127	44113	128205
128	44423	127760
129	44769	127421
130	45103	127046
131	45397	126563
132	45721	126164
133	46045	125765
134	46378	125393
135	46691	124967
136	47019	124583
137	47363	124242
138	47714	123920
139	48082	123641
140	48455	123373
141	48887	123252
142	49256	122969
143	49583	122582
144	49914	122204
145	50234	121801
146	50562	121418
147	50885	121025
148	51201	120616
149	51534	120248
150	51866	119876
151	52180	119466
152	52497	119063
153	52816	118665
154	53141	118282
155	53455	117877
156	53780	117495
157	54126	117159
158	54461	116801
159	54805	116462
160	55107	116034
161	55452	115698
162	55864	115499
163	56214	115172
164	56555	114824
165	56871	114428
166	57196	114049
167	57522	113676
168	57927	113456
169	58300	113171
170	58643	112829
171	58976	112467
172	59283	112055
173	59623	111708
174	59973	111380
175	60304	111014
176	60633	110647
177	60952	110261
178	61283	109898
179	61609	109528
180	61934	109155
181	62256	108777
182	62567	108381
183	62896	108018
184	63228	107659
185	63543	107273
186	63852	106875
187	64182	106514
188	64510	106152
189	64837	105787
190	65186	105458
191	65495	105066
192	65821	104700
193	66183	104391
194	66534	104066
195	66848	103683
196	67181	103330
197	67554	103037
198	67999	102853
199	68605	102908
200	68982	102615
201	69325	102272
202	69664	101923
203	69984	101546
204	70310	101178
205	70626	100796
206	70942	100415
207	71251	100026
208	71580	99664
